,course_name,skill_label
300,Webseiten aus Sicht Ihrer Kunden,öffentliches Recht
301,Webseiten aus Sicht Ihrer Kunden,andere führen
302,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,sich selbst darstellen
303,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,andere motivieren
304,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,Strom
305,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,sich selbst darstellen
306,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,andere motivieren
307,Wirkungsvoll visualisieren - Inhalte schnell und treffend darstellen,Strom
308,Zoll- und Außenwirtschaft - Grundlagen für Einsteiger,Zollrecht
309,Zusatzqualifikation im Leitungsbereich des Gesundheits- und Sozialwesens ,Ethik
310,Zusatzqualifikation im Leitungsbereich des Gesundheits- und Sozialwesens ,Konfliktmanagement
311,Zusatzqualifikation im Leitungsbereich des Gesundheits- und Sozialwesens ,Ethik
312,Zusatzqualifikation im Leitungsbereich des Gesundheits- und Sozialwesens ,Konfliktmanagement
313,Allgemeiner Integrationskurs ,Deutsch
314,Allgemeiner Integrationskurs,Deutsch
315,Allgemeiner Integrationskurs ,Deutsch
316,Allgemeiner Integrationskurs ,Deutsch
317,Alphabetisierungskurs,Deutsch
318,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Deutsch
319,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Kommunikation
320,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Beratung
321,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Deutsch
322,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Kommunikation
323,Berufsbezogener Sprachkurs mit Zielsprachniveau A2,Beratung
324,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Deutsch
325,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Kommunikation
326,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Beratung
327,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Deutsch
328,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Kommunikation
329,Berufsbezogener Sprachkurs mit Zielsprachniveau B1,Beratung
330,Berufsbezogener Sprachkurs mit Zielsprachniveau C1,Deutsch
331,Berufsbezogener Sprachkurs mit Zielsprachniveau C1,Kommunikation
332,Berufsbezogener Sprachkurs mit Zielsprachniveau C1,Beratung
333,Berufssprachkurs B2 ,Deutsch
334,Berufssprachkurs B2 ,Deutsch
335,Wiederholerkurs,Deutsch
